"","Q","P","Y","dist","hhsize","driver"
"2224",972.636674411397,1.32143471849808,32499.9935739522,6.37651325442515,5,4
"2225",2628.75134920098,1.32130610372197,90000.0150812943,6.37651325442515,4,2
"2226",3122.37003208744,1.32131350680492,22500.0036846141,6.37651325442515,5,3
"2227",1581.34748378938,1.32127058525196,90000.0150812943,6.37651325442515,3,2
"2228",1283.16619893753,1.32127452295102,62500.0115146263,6.37651325442515,4,2
"2229",1810.27242512674,1.32128728117659,119999.960964965,6.37651325442515,4,2
"2230",1507.70028430092,1.32123624901347,77499.9677154947,6.37651325442515,3,2
"2231",4462.78466040966,1.32133721270065,67499.980206137,6.37651325442515,4,2
"2232",1615.98597096326,1.32122920074462,67499.980206137,6.37651325442515,3,2
"2233",2074.22809356145,1.39699053745692,47500.0037644782,8.03876324143643,3,2
"2234",3536.63792486341,1.39710378533657,32499.9935739522,8.03876324143643,4,3
"2235",506.196480975238,1.39694286784134,119999.960964965,8.03876324143643,3,2
"2236",843.976666099392,1.39726413838416,57500.0080696094,8.03876324143643,4,2
"2237",866.316468152913,1.39717436172806,90000.0150812943,8.03876324143643,4,2
"2238",1295.13152259079,1.39701722482531,90000.0150812943,8.03876324143643,5,2
"2239",1229.26650794731,1.39699174483075,67499.980206137,8.03876324143643,4,2
"2240",370.928185000419,1.3975617834283,72499.9680495266,8.03876324143643,5,2
"2241",4946.86727206921,1.39706373117695,47500.0037644782,8.03876324143643,4,2
"2242",1967.3703964556,1.39701293649304,27499.992041722,8.03876324143643,4,3
"2243",1051.559676281,1.39694715595852,57500.0080696094,8.03876324143643,5,2
"2244",1731.0341858964,1.39738582077734,57500.0080696094,8.03876324143643,3,2
"2245",616.239080512813,1.39696264324862,52499.9985210982,8.03876324143643,3,2
"2246",2314.5314469338,1.39705990069378,47500.0037644782,8.03876324143643,4,2
"2247",2296.4254465796,1.39702272057133,62500.0115146263,8.03876324143643,5,3
"2248",1439.09608582428,1.39696718122368,67499.980206137,8.03876324143643,4,2
"2249",889.351914464115,1.39697575762046,52499.9985210982,8.03876324143643,5,3
"2250",401.38486518869,1.39693187699917,90000.0150812943,8.03876324143643,4,3
"2251",1858.80036935461,1.39700544235176,57500.0080696094,8.03876324143643,4,3
"2252",2157.08427954393,1.39699603309796,42499.9843818585,8.03876324143643,4,2
"2253",1931.2113161268,1.3970390413991,119999.960964965,8.03876324143643,6,2
"2254",2520.74247293263,1.3970434547169,52499.9985210982,8.03876324143643,4,2
"2255",3371.73997817786,1.39707114235899,57500.0080696094,8.03876324143643,5,2
"2256",1435.44936681013,1.39701318629844,62500.0115146263,8.03876324143643,4,2
"2257",1921.01570980854,1.39700519254774,47500.0037644782,8.03876324143643,3,2
"2258",993.642692668317,1.39700198673349,72499.9680495266,8.03876324143643,4,2
"2259",877.631189666682,1.39701805751271,77499.9677154947,8.03876324143643,4,2
"2260",1069.4403026049,1.39704895056612,32499.9935739522,8.03876324143643,5,4
"2261",2006.53110764611,1.39703142221343,62500.0115146263,8.03876324143643,5,3
"2262",2404.15801786332,1.39702950701482,42499.9843818585,8.03876324143643,6,2
"2263",1780.82632602917,1.39703379539795,90000.0150812943,8.03876324143643,4,2
"2264",1139.14417040707,1.39696884653932,32499.9935739522,8.03876324143643,5,3
"2265",674.750359630697,1.39698445897004,72499.9680495266,8.03876324143643,3,2
"2266",1547.51861765052,1.39700973066102,37499.9886435073,8.03876324143643,4,2
"2267",2464.77767973401,1.39704940855453,119999.960964965,8.03876324143643,5,2
"2268",1091.32329890088,1.39701510147468,42499.9843818585,8.03876324143643,4,2
"2269",1240.67538865196,1.39701997269562,119999.960964965,8.03876324143643,4,2
"2270",1041.16376151945,1.39697005389441,119999.960964965,8.03876324143643,3,2
"2271",1717.38709545649,1.39697109471859,27499.992041722,8.03876324143643,4,2
"2272",1709.2027788016,1.39718102399047,119999.960964965,8.03876324143643,4,2
"2273",2282.54111243954,1.39709649889152,119999.960964965,8.03876324143643,6,2
"2274",1756.65901119372,1.39698087850384,27499.992041722,8.03876324143643,3,2
"2275",3432.78972345399,1.39707551414211,77499.9677154947,8.03876324143643,5,2
"2276",382.384767054728,1.39698683207478,47500.0037644782,8.03876324143643,3,2
"2277",614.357233463765,1.39693999522652,57500.0080696094,8.03876324143643,3,2
